date,RSI_14D,Volume_plain,BB_Middle_Band,BB_Upper_Band,BB_Lower_Band,Aroon_Oscillator,PVT,AB_Middle_Band,AB_Upper_Band,AB_Lower_Band,STOK,STOD,Chaikin_MF,psar,ROC,VWAP,Momentum,CCI,OBV,Kelch_Upper,Kelch_Middle,Kelch_Down,TEMA,NATR,plusDI,minusDI,ADX,MACD,Money_Flow_Index,turning_line,standard_line,ichimoku_span1,ichimoku_span2,chikou_span,WillR,MIN_Volume,MAX_Volume,KAMA
2020-06-11,35.52261212234943,26897816,61.947,63.624,60.269,60.0,-2037462.212314515,61.946749999999895,66.42859995976156,57.43879995976141,-48.804780876494505,0.9212831400940141,-0.7762487337921873,59.7,-7.092492046139386,26.402613749187378,-3.1999999999999957,-85.52742964570015,-4412392368,64.77098530887125,63.04168530887126,61.3123853088714,223204.5428238861,4.549315981406115,12.74412621078648,19.822947427303706,33.31303088376223,0.6266316080292782,50.27566615196265,62.315,60.605000000000004,57.87,54.44,0.0,-96.77996422182468,14103013.0,33395738.0,0.0
2020-06-10,46.069603309807725,21367845,61.849,63.711,59.986,60.0,514792.77084653,61.848749999999896,66.07314119675439,57.445841196754245,39.512711864405475,29.815443986309475,-1.225571484585203,63.87,-0.4209541627689478,26.398748976154224,-1.240000000000002,54.713675887927366,-4385494552,64.81479483268078,63.214066261252206,61.61333768982377,245543.85736352584,4.010443419959327,14.704761012445939,4.576101653758837,35.0940926747059,1.0257417609521937,57.28586155317656,62.9675,60.605000000000004,57.87,55.46000000000001,0.0,-28.938156359393304,14103013.0,33395738.0,0.0
2020-06-09,52.88113969806506,23594133,61.575,63.525,59.624,60.0,-9088.929694167222,61.5747499999999,65.97769079548692,57.14014079548677,12.055918432371277,37.066943765463016,-0.13511545579099007,63.3,-1.3096351730589388,26.39549313762377,-1.8100000000000023,45.578807363289116,-4406862397,64.82425673744268,63.15709959458554,61.48994245172854,242608.0225362446,4.19563156991563,13.489461804152153,5.280117292798658,32.41130851131911,1.095649748705398,57.24733410175029,62.9675,60.605000000000004,57.8275,55.46000000000001,0.0,-42.24037339556602,14103013.0,33395738.0,0.0
2020-06-08,49.49137044233626,21546178,61.429,63.373,59.485,60.0,-807725.8565208804,61.42924999999991,65.8667318185098,56.94918181850966,37.87770166215188,53.59398796790449,0.8290484974483662,62.9,-1.7301124557473129,26.39191818979819,-2.134676000000006,51.226976350327476,-4430456530,64.79854492791887,63.05210207077602,61.3056592136333,243412.4523555901,4.5605251797175,15.564763620175562,5.860732601797202,30.668817632874166,1.2269774021837705,64.34745809299449,62.9675,60.605000000000004,57.5,55.46000000000001,0.0,-42.015209125475316,14103013.0,33395738.0,0.0
2020-06-05,49.282296650717704,26813098,61.229,63.136,59.323,28.0,213736.57452321117,61.22924999999991,65.59952825603219,56.801978256032044,61.267211201866104,47.09683520926769,1.9435108162327457,62.9,-1.5342867945236975,26.38863171017268,-1.966288960000007,70.05127951606981,-4408910352,64.61802820791887,62.89229963649031,61.166571065061866,249755.56427879722,4.865548338836282,17.95934263866411,5.582487521340015,28.419100665428715,1.4174795722280464,71.44943691160292,62.9675,60.605000000000004,57.525,55.7475,0.0,-38.43478260869567,14103013.0,33395738.0,0.0
2020-06-04,49.605599377846914,22010142,60.971,62.782,59.16,28.0,420812.2490655789,60.97074999999992,65.26976258497781,56.665487584977654,61.63705103969569,35.154737177839486,0.98745295662465,65.11,2.3126046607190065,26.384476090096516,0.40536259839998934,61.647635782044,-4382097254,64.28079092075697,62.593633777899825,60.906476635042814,262770.47519728314,5.112057530889736,12.478127249259002,6.4413317553923255,24.702979735793374,1.6400117300339758,71.31320774701577,62.4825,60.120000000000005,56.525800000000004,55.7475,0.0,13.509749303621154,14103013.0,33395738.0,0.0
2020-06-03,50.431646814555776,16737271,60.781,62.57,58.992,28.0,-138205.35411916027,60.78124999999992,64.9793786285482,56.65415362854803,18.386243386241492,19.75705864594524,-0.38531901699191307,65.11,2.8658447424090303,26.38122035774966,0.5605480944639964,59.310953807140216,-4360087112,64.06079164802556,62.30764879088268,60.55450593373996,262043.28994646508,5.33242513734106,10.099247749858591,7.432305871606529,23.594535803510336,1.6751707862875875,64.38299893000408,62.4825,60.120000000000005,56.415,55.86,0.0,12.06467661691541,14103013.0,33395738.0,0.0
2020-06-02,48.24882383690537,20702353,60.622,62.445,58.8,28.0,330649.81019411475,60.622249999999916,64.81132353722379,56.50109853722362,25.440917107581495,28.34058012306062,-0.09812703945604433,65.034676,3.785753974234708,26.37876975458049,0.634202170685441,52.77055356729188,-4376824383,63.88900447849808,62.04157590706949,60.19414733564106,260592.94672947633,5.4239699878595244,10.01346124522382,8.57573754416138,24.884119891199443,1.6956804066507445,57.39900481154793,62.4825,60.120000000000005,56.3375,55.86,0.0,11.127810945273684,14103013.0,33395738.0,0.0
2020-06-01,48.16538392697332,14329044,60.416,62.293,58.539,84.0,-909386.7309060679,60.415749999999925,64.64906089116542,56.23508589116525,15.444015444012942,21.760382998165813,-0.48641994975868064,64.86628896,4.834509955577394,26.37578383432309,0.608834083858028,70.62475771716264,-4397526736,63.77370138836153,61.85234424550437,59.93098710264737,258624.52655836343,5.492966504190989,11.553993744489023,6.253325650415138,27.522570852900262,1.7048630507266225,64.50671031601667,61.995000000000005,60.120000000000005,56.3375,55.86,0.0,9.033444776119467,14103013.0,33395738.0,0.0
2020-05-29,45.919361121932205,33395738,60.196,62.15,58.242,84.0,1170961.860913817,60.19624999999993,64.5857205469138,55.91924554691364,44.13680781758762,37.81216069489479,-0.836356110994516,64.70463740160001,5.757729862006002,26.373677855625807,0.5646374016000095,86.72508580669633,-4411855780,63.48450403217105,61.55386117502818,59.62321831788547,256752.73924449476,5.683378460412046,13.331531243641182,7.215375750479006,27.177305742226814,1.7089302979547156,71.65247486531065,61.75,60.120000000000005,56.3375,55.86,0.0,7.022853253731462,14103013.0,33395738.0,0.0
